EXCHANGE,CABLE_NAME,FIBER_PAIR,REMARKS,STATUS,CABLE_TYPE,DSA_NUM,ACCESS_POINT,ROUTE,PEDESTAL,AP_ADDRESS,MAP,CONDITION_CODE,COMMENTS,CIRCUIT_ID,CIRCUIT_DESIGN_ID,EUL_NAME,STREET_ADDRESS,ADDL_INFO,CLLI_CODE
LAVERGNE,FDHAJ,304,,Inservice,PON-DISTR,24100,241-AJ-463 FP2,463,FP2,STEWART RD,MAP-41,,,241-10-067540/    /ONT LINK/3283640,3283640,241-10-067540,111 BILL STEWART BLVD ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,305,,Inservice,PON-DISTR,24100,241-AJ-463 FP2,463,FP2,STEWART RD,MAP-41,,,241-AJ-138567/    /ONT LINK/3146831,3146831,241-AJ-138567,113 BILL STEWART BLVD ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,306,,Unassigned,PON-DISTR,24100,241-AJ-467 FP1,467,FP1,RIVERWOOD DR,MAP-41,,,,,241-AJ-045527,102 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,307,,Unassigned,PON-DISTR,24100,241-AJ-467 FP1,467,FP1,RIVERWOOD DR,MAP-41,,,,,241-AJ-045522,101 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,308,,Unassigned,PON-DISTR,24100,241-AJ-467 FP1,467,FP1,RIVERWOOD DR,MAP-41,,,,,241-AJ-045535,104 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,309,,Unassigned,PON-DISTR,24100,241-AJ-467 FP1,467,FP1,RIVERWOOD DR,MAP-41,,,,,241-AJ-045531,103 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,310,,Inservice,PON-DISTR,24100,241-AJ-467 FP1,467,FP1,RIVERWOOD DR,MAP-41,,,241-AJ-045546//ONT LINK/2931553,2931553,241-AJ-045546,106 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,311,,Unassigned,PON-DISTR,24100,241-AJ-467 FP1,467,FP1,RIVERWOOD DR,MAP-41,,,,,241-02-045540,105 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,313,,Unassigned,PON-DISTR,24100,241-AJ-467 FP2,467,FP2,RIVERWOOD DR,MAP-41,,,,,241-AJ-045553,108 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,314,,Inservice,PON-DISTR,24100,241-AJ-467 FP2,467,FP2,RIVERWOOD DR,MAP-41,,,241-AJ-045565//ONT LINK/2930553,2930553,241-AJ-045565,110 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,315,,Unassigned,PON-DISTR,24100,241-AJ-467 FP2,467,FP2,RIVERWOOD DR,MAP-41,,,,,241-02-045557,109 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,316,,Unassigned,PON-DISTR,24100,241-AJ-467 FP2,467,FP2,RIVERWOOD DR,MAP-41,,,,,241-02-045573,112 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,317,,Unassigned,PON-DISTR,24100,241-AJ-467 FP2,467,FP2,RIVERWOOD DR,MAP-41,,,,,241-AJ-045568,111 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,318,,Unassigned,PON-DISTR,24100,241-AJ-467 FP3,467,FP3,RIVERWOOD DR,MAP-41,,,,,241-02-045584,114 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,319,,Unassigned,PON-DISTR,24100,241-AJ-467 FP3,467,FP3,RIVERWOOD DR,MAP-41,,,,,241-AJ-045579,113 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,320,,Unassigned,PON-DISTR,24100,241-AJ-467 FP3,467,FP3,RIVERWOOD DR,MAP-41,,,,,241-02-045593,116 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,321,,Unassigned,PON-DISTR,24100,241-AJ-467 FP3,467,FP3,RIVERWOOD DR,MAP-41,,,,,241-AJ-045588,115 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,322,,Unassigned,PON-DISTR,24100,241-AJ-467 FP3,467,FP3,RIVERWOOD DR,MAP-41,,,,,241-AJ-045617,117 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,323,,Unassigned,PON-DISTR,24100,241-AJ-482 FP4,482,FP4,HOLLAND RIDGE DR,MAP-41,,,,,241-AJ-016990,203 HOLLAND RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,324,,Inservice,PON-DISTR,24100,241-AJ-482 FP4,482,FP4,HOLLAND RIDGE DR,MAP-41,,,241-AJ-016984//ONT LINK/2930081,2930081,241-AJ-016984,202 HOLLAND RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,325,,Unassigned,PON-DISTR,24100,241-AJ-467 FP4,467,FP4,RIVERWOOD DR,MAP-41,,,,,241-02-045626,119 RIVERWOOD DR ,,LVRGTNXAAJ
